127.0.0.1 - - [04/Mar/2021:22:06:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:06:15 +0900] "GET /KangTest/main.jsp HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:06:15 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:06:15 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:06:15 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:11:22 +0900] "GET /KangTest/main.jsp HTTP/1.1" 200 3560
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:11:22 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:11:22 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:11:22 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:11:22 +0900] "GET /KangTest/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:25:03 +0900] "GET /KangTest/main.jsp HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:25:03 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:25:03 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:25:03 +0900] "GET /KangTest/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:25:03 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:25:58 +0900] "GET /KangTest/main.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:25:58 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:25:58 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:25:58 +0900] "GET /KangTest/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2021:22:25:58 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
